date,symbol,close
2026-07-17,XLRE,45.42
2026-07-24,XLRE,45.95
2026-07-31,XLRE,45.07
2026-08-07,XLRE,44.98
2026-08-14,XLRE,45.27
2026-08-21,XLRE,45.08
2026-08-28,XLRE,44.48
2026-09-04,XLRE,43.93
2021-09-10,XLU,29.4441
2021-09-17,XLU,28.5623
2021-09-24,XLU,28.2324
2021-10-01,XLU,27.6863
2021-10-08,XLU,28.0721
2021-10-15,XLU,28.4665
2021-10-22,XLU,29.1469
2021-10-29,XLU,28.9996
2021-11-05,XLU,29.1339
2021-11-12,XLU,28.8869
2021-11-19,XLU,29.1686
2021-11-26,XLU,28.9346
2021-12-03,XLU,29.212
2021-12-10,XLU,29.9704
2021-12-17,XLU,30.3432
2021-12-24,XLU,30.455
2021-12-31,XLU,31.2675
2022-01-07,XLU,30.7564
2022-01-14,XLU,30.3152
2022-01-21,XLU,30.0706
2022-01-28,XLU,29.6862
2022-02-04,XLU,29.9133
2022-02-11,XLU,29.2799
2022-02-18,XLU,28.9261
2022-02-25,XLU,29.5202
2022-03-04,XLU,30.9661
2022-03-11,XLU,30.7651
2022-03-18,XLU,30.9311
2022-03-25,XLU,32.0041
2022-04-01,XLU,33.2002
2022-04-08,XLU,33.8422
2022-04-15,XLU,33.4596
2022-04-22,XLU,32.6505
2022-04-29,XLU,31.3357
2022-05-06,XLU,31.7534
2022-05-13,XLU,31.4104
2022-05-20,XLU,31.5467
2022-05-27,XLU,33.143
2022-06-03,XLU,32.6945
2022-06-10,XLU,31.3709
2022-06-17,XLU,28.5258
2022-06-24,XLU,30.5891
2022-07-01,XLU,31.848
2022-07-08,XLU,30.9482
2022-07-15,XLU,30.9216
2022-07-22,XLU,30.7753
2022-07-29,XLU,32.7788
2022-08-05,XLU,32.9029
2022-08-12,XLU,34.0066
2022-08-19,XLU,34.441
2022-08-26,XLU,33.5589
2022-09-02,XLU,33.0669
2022-09-09,XLU,34.2992
2022-09-16,XLU,33.0093
2022-09-23,XLU,32.0235
2022-09-30,XLU,29.2344
2022-10-07,XLU,28.4534
2022-10-14,XLU,27.735
2022-10-21,XLU,28.2526
2022-10-28,XLU,30.0823
2022-11-04,XLU,29.9395
2022-11-11,XLU,30.3813
2022-11-18,XLU,30.7249
2022-11-25,XLU,31.6576
2022-12-02,XLU,31.6978
2022-12-09,XLU,31.6085
2022-12-16,XLU,31.4523
2022-12-23,XLU,31.9031
2022-12-30,XLU,31.7186
2023-01-06,XLU,31.9436
2023-01-13,XLU,32.0921
2023-01-20,XLU,31.1473
2023-01-27,XLU,30.9943
2023-02-03,XLU,30.5534
2023-02-10,XLU,30.4634
